id,total_employed,%chg_total_emp
441,49030,1.158
442,1808628,1.113333333
443,29176,1.681333333
444,21352,1.242666667
445,289794,1.349333333
446,266342,0.755333333
447,25152,1.761333333
448,2729,0.375333333
449,64300,1.059333333
450,35142,1.072
451,39968,1.338666667
452,26696,0.936666667
453,38438,0.822666667
454,273036,0.752
455,236816,0.886666667
456,460682,0.669333333
457,47512,0.808666667
458,5438256,1.028
459,42716,0.954
460,1856,0.410666667
461,226712,1.391333333
462,142194,0.756666667
463,36086,0.962666667
464,38060,0.772666667
465,2174550,0.722
466,85106,1.042666667
467,542800,0.806666667
468,8870,2.146
469,42024,1.037333333
470,31596,1.020666667
471,39496,0.973333333
472,12314,1.186
473,404224,0.826666667
474,377216,3.300666667
475,12206,1.124666667
476,190630,0.668666667
477,13902,1.142
478,25838,0.898666667
479,28808,0.942666667
480,8160,1.150666667
481,7286,0.469333333
482,25298,1.026666667
483,22730,1.478666667
484,8646,1.604
485,109148,1.866
486,41492,1.023333333
487,115186,2.762666667
488,7752,1.229333333
489,3956,0.403333333
490,298650,1.266
491,38596,0.464
492,40996,0.88
493,10202,1.574666667
494,16278,1.532
495,21840,1.190666667
496,6768,1.168
497,26448,1.420666667
498,10328,1.532666667
499,40912,1.128666667
500,46120,1.874666667
501,9358,1.270666667
502,43288,0.832
503,45894,0.877333333
504,569202,1.480666667
505,154512,0.881333333
506,83622,0.705333333
507,11528,1.060666667
508,152908,0.906
509,61104,1.145333333
510,47062,0.85
511,25480,0.891333333
512,17952,1.08
513,68094,0.838
514,16712,1.207333333
515,33682,1.271333333
516,1711,0.561333333
517,31312,0.867333333
518,11760,1.184666667
519,627294,1.814666667
520,198564,0.782666667
521,4931,0.422666667
522,18688,1.141333333
523,14670,0.918666667
524,136568,1.244
525,51672,0.877333333
526,8774,1.602
527,64662,1.301333333
528,4560,1.252
529,860,0.456666667
530,34702,1.679333333
531,9246,1.188666667
532,13926,1.512
533,12236,1.282666667
534,121366,0.920666667
535,126292,1.325333333
536,73204,0.819333333
537,19860,0.866
538,6376,1.499333333
539,240924,0.706666667
540,11358,1.199333333
541,11882,0.798
542,41662,1.11
543,40542,1.050666667
544,80214,1.072
545,140216,0.822666667
546,93046,1.236666667
547,7231,0.555333333
548,37746,1.584
549,48688,1.412666667
550,2741,0.527333333
551,6436,1.070666667
552,54764,0.846666667
553,338506,0.702
554,5207,0.551333333
555,15654,1.21
556,21264,0.721333333
557,18312,1.072
558,777032,0.506666667
559,438088,1.573333333
560,2824232,1.827333333
561,189958,0.58
562,460697,0.524666667
563,10896,2.004444444
564,1533482,1.085333333
565,5616,1.808
566,203642,1.315333333
567,9800,1.401333333
568,20216,1.356666667
569,88568,1.17
570,78206,0.692
571,9466,0.925333333
572,85714,0.898
573,320846,0.820666667
574,21118,1.356
575,52236,0.54
576,1620,0.924
577,431732,0.758
578,20674,0.94
579,68706,0.797333333
580,1353,1.15
581,15522,1.995333333
582,7438,1.764666667
583,42264,1.936666667
584,21676,1.078
585,16978,1.597333333
586,22354,1.11
587,36476,0.8
588,25616,1.482
589,37490,0.46
590,62222,0.680666667
591,375048,0.916
592,67769,0.469333333
593,14164,1.723333333
594,9490,1.434
595,8501,0.799333333
596,95622,0.739333333
597,47506,0.883333333
598,123826,1.069333333
599,5807,0.507333333
600,18100,1.003333333
601,38838,0.819333333
602,19604,0.883333333
603,28820,0.921333333
604,19454,0.830666667
605,236270,0.792
606,28112,1.203333333
607,16372,1.093333333
608,81094,0.611333333
609,181379,0.482
610,6022,1.399166667
611,25910,1.7425
612,100480,0.856666667
613,25454,0.496
614,65748,1.070833333
615,4202,1.614166667
616,23524,2.3875
617,32786,0.9775
618,473840,0.512
619,51362,0.466666667
620,26762,1.0575
621,30362,1.023333333
622,63936,0.463333333
623,127922,0.459333333
624,15451112,0.797333333
625,37434,0.465333333
626,16942,1
627,189809,0.446666667
628,28108,1.116666667
629,44560,0.925
630,3507491,0.496
631,38857,0.47
632,12624,0.955833333
633,130776,0.484
634,28205,0.473333333
635,27838,1.018333333
636,51824,1.241666667
637,42713,0.490666667
638,5392,1.339166667
639,14088,1.4025
640,122052,0.925
641,12010,1.3675
642,23544,1.288333333
643,3712,1.269166667
644,6236,1.6575
645,72859,0.462
646,44248,1.079166667
647,123955,0.414666667
648,11860,1.37
649,111919,0.484
650,28844,1.15
651,40786,1.08
652,10515,0.627333333
653,1151688,0.48
654,249434,0.456
655,167714,1.0825
656,96659,0.491333333
657,1875859,0.572
658,247932,0.922
659,23425,0.462666667
660,77214,1.343333333
661,71844,0.452
662,48008,0.491333333
663,51438,0.448666667
664,562848,0.94
665,455610,0.458666667
666,268079,0.476666667
667,60134,1.174166667
668,615436,0.875333333
669,74262,0.985833333
670,16768,1.044166667
671,16954,1.5725
672,18246,1.284166667
673,9784,1.629166667
674,17986,1.351666667
675,50256,0.965833333
676,46099,0.494666667
677,84040,1.02
678,31052,0.8125
679,93094,1.0275
680,591089,0.559333333
681,23606,0.466666667
682,20610,1.244166667
683,23102,1.19
684,2842,1.843333333
685,7970,2.165
686,9938,1.045
687,61370,0.447333333
688,35378,0.939166667
689,413075,1.104
690,506832,1.007333333
691,45694,1.149166667
692,763090,2.628666667
693,8630,1.473333333
694,5794,1.501666667
695,30116,1.103333333
696,8012,1.249166667
697,102032,0.954166667
698,278514,0.9825
699,25182,0.488
700,144122,0.928
701,19624,1.305
702,37724,0.981666667
703,38986,0.8625
704,22788,1.23
705,23962,1.115833333
706,124946,1.1125
707,1387042,0.448
708,166158,1.585
709,738202,0.839166667
710,59248,1.046666667
711,845863,0.465333333
712,80328,0.786666667
713,1133022,0.764
714,305446,0.760666667
715,13930,1.048
716,17384,0.832666667
717,201160,0.686
718,15758,1.236666667
719,33372,0.82
720,86182,1.061333333
721,325124,1.064
722,46382,0.842666667
723,67046,0.77
724,11052,1.12
725,73486,0.797333333
726,86972,0.874
727,86654,0.696666667
728,131008,0.650666667
729,245823,0.460666667
730,171554,0.630666667
731,782832,0.582666667
732,35528,0.858666667
733,183196,0.876
734,27946,0.871333333
735,26120,0.964666667
736,36644,0.918666667
737,128674,0.598666667
738,161968,1.052
739,37604,1.178666667
740,863132,0.649333333
741,154648,0.844
742,61304,0.926666667
743,443996,0.756
744,78378,0.954
745,225160,0.808
746,80792,0.716666667
747,133850,0.802
748,69940,0.778666667
749,40194,0.742
750,74734,1.155333333
751,45070,0.896
752,340800,0.760666667
753,103234,1.284666667
754,228394,0.626
755,81808,0.656666667
756,1109846,0.796666667
757,238530,0.969333333
758,81868,0.831333333
759,237770,0.908666667
760,3575446,1.054666667
761,108726,0.710666667
762,47186,6.710666667
763,52714,1.798
764,340127,0.423333333
765,89972,0.82
766,91408,0.838666667
767,19466,0.97
768,108172,0.684
769,7332,1.034
770,46462,0.737333333
771,30634,0.873333333
772,17958,1.717333333
773,39156,1.142666667
774,16132,1.1
775,362232,0.718666667
776,52322,0.768666667
777,28922,0.947333333
778,78742,1.000666667
779,38066,0.913333333
780,73806,0.712
781,28960,0.968666667
782,726386,0.758666667
783,49042,0.812
784,109356,0.787333333
785,36594,0.868
786,24410,0.978666667
787,95650,0.689333333
788,33104,1.731333333
789,12202,1.002
790,461516,0.436666667
791,31590,0.788666667
792,7592,1.145333333
793,641702,0.784
794,25684,0.84
795,281524,1.142
796,71340,0.743333333
797,11164,0.902
798,98870,0.739333333
799,35788,0.910666667
800,178458,0.932
801,63376,0.720666667
802,54984,0.776666667
803,79074,0.706
804,453346,0.593333333
805,17146,0.885333333
806,7424,0.95
807,29496,0.982666667
808,26250,0.831333333
809,10546,0.983333333
810,34906,1.056
811,434730,0.878666667
812,52204,1.293333333
813,58060,0.862
814,39842,1.059333333
815,67436,0.817333333
816,20078,0.990666667
817,16528,1.162666667
818,66474,0.724
819,34166,1.061333333
820,30632,0.988666667
821,146374,0.754
822,28898,1.183333333
823,28414,0.816666667
824,26862,0.92
825,50368,0.872
826,37802,0.918666667
827,118896,0.737333333
828,40120,0.880666667
829,277300,0.640666667
830,12180,1.145333333
831,14662,1.008666667
832,39094,0.89
833,123340,0.776
834,53714,0.784666667
835,347412,0.639333333
836,21920,0.95
837,41372,0.874666667
838,33560,0.859333333
839,22428,0.910666667
840,14506,0.900666667
841,20132,1.008
842,23598,0.876
843,18274,1.146
844,34148,0.921333333
845,36806,0.722666667
846,39972,1.12
847,23892,1.030666667
848,54384,0.966666667
849,24682,0.854
850,22112,0.934
851,22304,0.726666667
852,58432,0.708
853,35852,0.900666667
854,67512,0.959333333
855,45248,0.854666667
856,412826,0.608666667
857,35370,1.176666667
858,12956,1.123333333
859,39376,0.879333333
860,90304,0.859333333
861,775302,0.716
862,23024,0.906666667
863,21602,0.915333333
864,26864,0.814666667
865,22228,1.026666667
866,47094,0.832
867,105940,0.694
868,98050,1.102
869,16640,0.442666667
870,24314,0.830666667
871,15094,1.032666667
872,21130,0.856
873,24150,0.984
874,136112,0.688666667
875,38888,0.805333333
876,14426,0.796
877,32406,0.509333333
878,22334,1.038666667
879,67892,0.76
880,17870,0.918666667
881,1796404,0.926
882,236630,0.806
883,55962,0.684
884,8132,1.336
885,17382,0.974
886,531140,0.697333333
887,32892,0.838
888,124990,0.686
889,231723,0.572
890,33230,1.206666667
891,11630,1.001333333
892,36222,0.978666667
893,11286,1.132666667
894,94542,0.814666667
895,69800,0.939333333
896,48766,0.874666667
897,11258,1.238
898,105312,0.932666667
899,25270,0.833333333
900,59292,0.892666667
901,306796,0.810666667
902,13774,0.875333333
903,37852,0.980666667
904,20482,0.546666667
905,33908,1.018
906,12446,1.125333333
907,32014,0.864666667
908,9452,1.356666667
909,72764,0.867333333
910,35866,0.930666667
911,29300,1.198
912,113662,1.161333333
913,5474,1.038666667
914,4592,1.318
915,34656,0.942
916,5174,1.128666667
917,4706,1.61
918,17260,1.206666667
919,18772,1.032666667
920,21268,1.17
921,3578,1.332
922,82662,1.082
923,101930,1.190666667
924,5336,1.104
925,36094,1.098666667
926,14050,1.248666667
927,253500,0.461333333
928,5508,1.112666667
929,1849,0.370666667
930,92268,1.255333333
931,13372,1.780666667
932,116908,0.813333333
933,101528,0.878666667
934,55758,0.843333333
935,79704,3.098666667
936,7540,1.178666667
937,5350,1.37
938,16616,0.916666667
939,18078,1.101333333
940,3808,1.556
941,9486,1.286666667
942,9022,0.858
943,14114,1.146666667
944,83482,0.77
945,10096,1.120666667
946,3490,1.601333333
947,25366,1.422666667
948,21412,1.234
949,4112,1.853333333
950,2103986,0.672
951,8900,1.364
952,14788,1.023333333
953,6522,1.13
954,50524,1.449333333
955,2697,0.483333333
956,122838,2.988
957,5878,1.451333333
958,11884,1.349333333
959,7382,1.724666667
960,90820,1.208
961,93168,0.732666667
962,22006,1.182666667
963,26994,0.892666667
964,9310,1.211333333
965,50374,1.242
966,18670,1.125333333
967,85382,0.862
968,9168,1.282666667
969,4812,1.588666667
970,30410,0.817333333
971,37616,1.143333333
972,6652,1.393333333
973,13714,1.649333333
974,16300,1.486
975,8386,1.092
976,6134,0.519333333
977,11785,0.462666667
978,13964,1.361333333
979,57764,0.782666667
980,27346,1.049333333
981,4864,0.538666667
982,156752,0.98
983,10762,1.128
984,21984,1.034666667
985,147576,0.57
986,10636,1.422666667
987,6154,1.297333333
988,14530,1.070666667
989,171048,0.854666667
990,13424,1.072666667
991,1544444,0.875333333
992,64852,0.924
993,573334,1.488666667
994,5996,1.334
995,14392,1.210666667
996,7820,1.234666667
997,7432,1.548
998,4511,0.45
999,12172,1.186666667
1000,40326,1.098
1001,24006,0.898666667
1002,7582,1.507333333
1003,7958,1.230666667
1004,3076,1.435333333
1005,12394,1.276666667
1006,4619,0.564666667
1007,20762,1.045333333
1008,4042,1.440666667
1009,539462,1.052
1010,73125,1.090833333
1011,26082,1.166
1012,27566,0.922666667
1013,29560,0.954
1014,9496,1.125333333
1015,95714,0.856
1016,11822,1.144666667
1017,47918,1.161333333
1018,577396,0.706666667
1019,40234,0.784
1020,145064,0.955333333
1021,84234,0.910666667
1022,7414,1.339333333
1023,15860,1.639333333
1024,20530,1.157333333
1025,158452,0.713333333
1026,16540,1.125333333
1027,25926,0.866666667
1028,94982,1.412
1029,181078,1.197333333
1030,5988,1.135333333
1031,42850,0.752
1032,32386,1.107333333
1033,23328,0.924
1034,185958,1.826
1035,88298,0.74
1036,23768,2.044666667
1037,23794,0.87
1038,11484,1.031333333
1039,12154,0.982666667
1040,272640,0.768666667
1041,9540,2.289333333
1042,5380,3.192
1043,14116,1.166666667
1044,1158934,1.528
1045,18704,1.162666667
1046,62434,1.158
1047,188810,2.706
1048,11846,1.136666667
1049,15234,0.938
1050,12842,1.258666667
1051,30150,1.089333333
1052,68472,0.982666667
1053,47252,0.997333333
1054,10876,1.198
1055,45304,0.946666667
1056,24674,0.719333333
1057,286178,1.932
1058,36714,1.484
1059,30218,0.872666667
1060,29110,0.877333333
1061,112006,0.814666667
1062,16348,1.448666667
1063,4827,0.585333333
1064,99342,1.052
1065,9936,1.610666667
1066,2803656,0.827333333
1067,102702,0.838
1068,30122,1.311333333
1069,407278,1.034
1070,12674,1.398666667
1071,47586,0.983333333
1072,15070,1.081333333
1073,161672,0.782
1074,21188,0.956
1075,9774,1.13
1076,9180,1.365333333
1077,25630,1.154666667
1078,11614,1.265333333
1079,23988,1.110666667
1080,15222,1.219333333
1081,53046,0.808666667
1082,14614,2.196666667
1083,229128,0.858666667
1084,17006,2.724
1085,11532,1.306
1086,205674,1.462666667
1087,11068,1.235333333
1088,51224,0.716666667
1089,68128,0.828666667
1090,12202,2.889333333
1091,49154,0.954666667
1092,25654,1.03
1093,5662,1.735333333
1094,37364,0.807333333
1095,11124,1.070666667
1096,18844,0.965333333
1097,60398,0.760666667
1098,17280,1.985333333
1099,47870,1.402666667
1100,98346,0.724
1101,5074,1.459333333
1102,44396,0.978
1103,98178,1.081333333
1104,8098,1.329333333
1105,3862,1.640666667
1106,13614,1.160666667
1107,69170,1.225333333
1108,121400,0.9
1109,15896,1.21
1110,156758,0.922666667
1111,1744,1.986
1112,23846,0.98
1113,60174,1.642666667
1114,34250,0.970666667
1115,170036,0.636
1116,97318,0.855333333
1117,51346,0.696666667
1118,12352,1.241333333
1119,73804,0.828
1120,13652,1.139333333
1121,17468,1.202666667
1122,6806,1.216666667
1123,30198,0.833333333
1124,389966,0.952666667
1125,19730,0.865333333
1126,34116,0.937333333
1127,17460,1.065333333
1128,76024,0.896666667
1129,8332,1.298666667
1130,55918,0.948
1131,149153,0.674
1132,85926,0.921333333
1133,46942,2.12
1134,281932,0.688
1135,21652,0.982
1136,61598,1.312
1137,50810,0.893333333
1138,24650,1.020666667
1139,266024,1.222666667
1140,655304,1.087333333
1141,587336,0.82
1142,12914,1.152
1143,50832,0.642666667
1144,12426,1.228
1145,18674,1.786
1146,32088,1.108
1147,40030,1.017333333
1148,1575466,1.282666667
1149,9514,1.209333333
1150,28476,2.858
1151,45716,0.949333333
1152,28470,1.294
1153,20334,2.976666667
1154,156626,0.789333333
1155,88804,1.19
1156,20490,1.207333333
1157,1141378,0.702
1158,48874,1.1
1159,785900,0.802666667
1160,205898,0.91
1161,29218,1.12
1162,114552,1.406666667
1163,175620,0.870666667
1164,18440,1.144
1165,38564,0.854
1166,80694,1.460666667
1167,1207046,1.29
1168,417494,0.924
1169,71026,1.233333333
1170,30942,0.922666667
1171,336572,1.384
1172,14420,1.013333333
1173,37884,0.851333333
1174,33058,1.040666667
1175,60628,0.949333333
1176,142662,0.752
1177,9496,1.348
1178,49124,0.816
1179,84164,0.860666667
1180,142556,0.928
1181,71258,0.812666667
1182,124738,0.874666667
1183,539650,0.815333333
1184,265942,1.207333333
1185,2546,0.441333333
1186,295584,0.719333333
1187,30072,0.926666667
1188,76996,1.024
1189,75562,2.459333333
1190,61602,1.192
1191,69622,0.964666667
1192,77736,0.749333333
1193,12302,1.318666667
1194,25961,0.373333333
1195,26962,1.011333333
1196,97204,0.508333333
1197,293698,0.744666667
1198,154634,1.377333333
1199,1106380,0.807333333
1200,57305,0.521333333
1201,118060,0.920666667
1202,361046,1.838
1203,98298,0.931333333
1204,59514,0.853333333
1205,103562,0.915333333
1206,417364,1.18
1207,28115,0.478
1208,93996,0.654666667
1209,92654,0.911333333
1210,61687,0.481333333
1211,58352,1.373333333
1212,418452,1.782666667
1213,80409,0.688666667
1214,166914,1.352666667
1215,1646134,1.342
1216,2240824,1.147333333
1217,133692,0.906666667
1218,58918,0.915333333
1219,341326,0.835333333
1220,199478,1.396666667
1221,247606,1.472666667
1222,73020,1.197333333
1223,623314,1.062
1224,71306,0.828
1225,560534,1.870666667
1226,1042230,0.692
1227,45140,0.902
1228,2816316,1.651333333
1229,1909956,1.942
1230,90332,0.888
1231,280084,2.946
1232,38718,2.416666667
1233,102486,0.790666667
1234,376096,0.853333333
1235,270688,1.068
1236,122632,0.828666667
1237,2064362,1.480666667
1238,449742,0.506666667
1239,515070,1.012
1240,351284,0.862666667
1241,1359512,0.830666667
1242,42668,0.928
1243,1925114,0.846
1244,155966,0.994
1245,1251018,1.01
1246,385986,1.666
1247,5599310,0.78
1248,32588,0.791333333
1249,2081656,0.726666667
1250,1146298,0.989333333
1251,4234070,1.011333333
1252,2099676,0.970666667
1253,312998,0.700833333
1254,9327,0.526666667
1255,11715,0.648
1256,235236,0.750666667
1257,68148,1.006666667
1258,29102,0.933333333
1259,23702,0.790666667
1260,17382,2.004666667
1261,73822,0.838
1262,203738,0.826666667
1263,24044,0.859333333
1264,355092,0.765333333
1265,76642,0.454
1266,321826,1.272
1267,55038,0.918
1268,57720,0.793333333
1269,30806,0.961333333
1270,71808,2.188
1271,37972,1.005333333
1272,97138,0.772666667
1273,24392,1.350666667
1274,80942,0.868666667
1275,79938,1.270666667
1276,250834,0.947333333
1277,105526,0.738
1278,791670,0.829333333
1279,24160,0.923333333
1280,31434,1.250666667
1281,294006,0.762
1282,76314,1.105333333
1283,73028,0.848666667
1284,58771,0.516666667
1285,64728,0.808666667
1286,916548,1.864
1287,125774,0.990666667
1288,45002,0.920666667
1289,20720,1.044
1290,139809,0.415333333
1291,338154,0.894
1292,727352,0.820666667
1293,23142,1.042
1294,2450440,0.617333333
1295,1985,0.55
1296,10806,1.164
1297,124204,0.953333333
1298,33720,1.12
1299,150220,0.919333333
1300,373322,0.704
1301,9900,2.113333333
1302,19336,1.389333333
1303,1959164,0.851333333
1304,32579,0.520666667
1305,155820,1.210666667
1306,58178,0.817333333
1307,66041,0.421333333
1308,41744,1.068666667
1309,210292,0.636
1310,17192,0.498666667
