id,establishments,%chg_lq_estabishments
486,1006,8.23
487,1824,13.57
488,322,13.23
489,158,17.85
490,5798,6.92
491,1130,6.45
492,876,12.02
493,392,17.18
494,396,19.6
495,770,10.16
496,192,21.93
497,700,15.07
498,330,19.04
499,872,13.7
500,1104,10.37
501,282,25.09
502,1072,7.88
503,866,9.93
504,9280,5.79
505,3296,6.39
506,2392,4.81
507,426,11.81
508,4424,4.5
509,1124,9.07
510,1528,7.16
511,720,9.21
512,574,12.25
513,1368,8.77
514,404,17.38
515,950,9.5
516,78,28.78
517,1028,9.18
518,334,19.66
519,9298,5.71
520,4190,4.62
521,124,19.81
522,518,18.17
523,420,12.42
524,2508,9.42
525,1118,6.98
526,178,32.27
527,1332,13.84
528,160,26.44
529,48,51.32
530,686,13.3
531,296,19.62
532,432,20.12
533,422,19.49
534,2994,6.75
535,2214,9.51
536,1384,8.39
537,576,9.1
538,210,20.13
539,3174,6.7
540,364,17.73
541,218,18.67
542,1200,8.23
543,944,8.83
544,1492,11.66
545,3682,5.23
546,1820,10.35
547,198,22.07
548,782,16.75
549,1170,7.84
550,84,39.79
551,144,24.49
552,1434,6.62
553,4676,6.06
554,220,26.25
555,478,16.05
556,342,17.56
557,608,12.44
558,81128,2.83
559,11746,10.63
560,54304,5.04
561,5760,15.5
562,13596,15.36
563,3816,4.32
564,34598,4.22
565,338,14.83
566,4824,6.86
567,446,17.14
568,692,16.22
569,2292,8.93
570,3336,4.8
571,410,14.31
572,3524,6.67
573,8120,5.3
574,932,11.3
575,260,21.47
576,118,18.77
577,11422,4.35
578,566,13.41
579,1886,9.06
580,88,39.99
581,612,17.19
582,488,17.25
583,1248,14.53
584,848,11
585,806,14.41
586,990,8.25
587,1072,10.33
588,1178,13.29
589,1482,8.76
590,1440,7.35
591,11088,4.79
592,2182,9.7
593,756,15.65
594,382,19.46
595,312,19.51
596,2224,5.54
597,1252,8.76
598,2462,9.23
599,288,14.46
600,622,16.69
601,1260,8.34
602,484,15.63
603,820,17.02
604,1152,7.06
605,6046,5.65
606,1364,8.53
607,560,14.48
608,16008,3.04
609,3436,6.44
610,194,20.41
611,594,11.7
612,1736,5.11
613,246,19.07
614,1568,14.31
615,190,24.83
616,794,14.08
617,556,12.61
618,8210,5.76
619,1410,9.63
620,650,11.44
621,692,9.21
622,1770,8.69
623,2114,6.09
624,276970,2.79
625,830,12
626,402,13.75
627,4020,5.92
628,740,12.2
629,1164,8.98
630,68880,2.84
631,706,13.89
632,304,13.75
633,2430,6.95
634,950,10.01
635,686,13.58
636,1458,11.35
637,1350,14.57
638,250,22.7
639,480,19.81
640,2342,6.76
641,410,15.56
642,822,16.22
643,128,18.11
644,278,27.24
645,2012,9.55
646,1408,14.74
647,2314,7.32
648,466,12.81
649,1730,9.54
650,786,8.63
651,1430,7.93
652,368,19.76
653,25168,3.13
654,4500,6.21
655,4440,4.02
656,2034,9.52
657,40166,3.31
658,5018,7.06
659,506,13.37
660,1382,9.68
661,1722,11.15
662,1106,14.34
663,1162,9.94
664,15642,3.46
665,6626,5.22
666,4238,6.15
667,1790,11.75
668,10632,4.63
669,1658,8.74
670,536,14.74
671,598,14.71
672,416,11.5
673,420,14.04
674,574,17.49
675,1590,6.77
676,1378,11.76
677,1478,8.48
678,686,8.26
679,2024,8.99
680,8338,6.42
681,676,9.78
682,734,13.37
683,846,13.02
684,92,30.64
685,214,27.65
686,302,18.43
687,1238,11.83
688,828,9.37
689,5872,7.14
690,9958,5.89
691,1014,10.16
692,9580,7.49
693,326,12.96
694,190,22.04
695,924,13.77
696,278,19.33
697,2078,8.42
698,5214,5.57
699,678,11.51
700,2726,9.44
701,546,9.25
702,736,12.82
703,814,13.07
704,772,12.68
705,708,12.1
706,2368,8.74
707,30276,3.29
708,2774,6.24
709,11778,3.86
710,1468,8.74
711,105278,2.23
712,1452,7.58
713,18408,4.25
714,3944,5.53
715,442,17.09
716,468,10.37
717,3826,4.78
718,642,11.49
719,794,10.51
720,1416,10.22
721,5592,5.37
722,994,12.88
723,1250,9.06
724,308,23.15
725,1804,7.32
726,2076,7.7
727,1310,9.38
728,2004,7.49
729,4414,6.15
730,2618,6.46
731,9692,3.68
732,818,11.45
733,3774,5.85
734,704,14.09
735,704,15.03
736,944,9.89
737,1512,10.72
738,2398,8.62
739,1122,12.15
740,20038,3.05
741,3260,6.28
742,1388,8.86
743,7126,4.83
744,1664,10.47
745,3492,5.98
746,1766,7.86
747,1960,8.55
748,1672,7.27
749,832,10.21
750,1344,11.03
751,814,14.77
752,7018,4.72
753,1880,9.73
754,3978,5.37
755,1856,7.18
756,21338,3.9
757,4630,6.62
758,1766,9.03
759,4532,6.53
760,50052,3.62
761,2138,7.35
762,502,14.81
763,1206,14.44
764,6220,5.34
765,1720,10.68
766,2566,6.63
767,596,14.05
768,1820,8.35
769,172,20.34
770,742,11.33
771,636,13.62
772,620,20.28
773,740,13.72
774,378,19.28
775,7688,5.04
776,1036,10.5
777,722,12.51
778,1472,10.45
779,1014,11.93
780,1460,9.51
781,830,13.38
782,11794,4.07
783,828,10.35
784,1952,7.57
785,946,13.49
786,644,10.36
787,1982,7.35
788,772,17.25
789,302,22.73
790,7640,4.57
791,638,12.67
792,282,14.63
793,9724,4.04
794,610,15.39
795,4798,6.1
796,1544,8.25
797,288,18.13
798,2436,5.48
799,960,9.9
800,2862,7.2
801,1272,9.36
802,1330,9.52
803,1428,8
804,37076,2.78
805,630,12.06
806,314,14.67
807,936,12.3
808,736,14.15
809,454,14.67
810,1358,12.31
811,7748,5.68
812,1476,9.28
813,1424,10.14
814,1272,12.45
815,1334,11.64
816,848,13.48
817,630,16.19
818,1930,8.53
819,1108,13.22
820,1166,11.08
821,3336,8.03
822,910,15.27
823,886,11.23
824,474,15.29
825,1464,10.79
826,1260,13.41
827,2838,8.29
828,1006,12.96
829,5602,5.31
830,488,14.56
831,454,18.72
832,1202,11.63
833,2728,7.52
834,1804,8.14
835,6740,5.84
836,652,13.14
837,1368,10.87
838,982,11.08
839,760,12.63
840,566,16.2
841,638,14.32
842,758,12.94
843,732,17.27
844,970,12.9
845,758,13.93
846,1346,12.64
847,884,12.96
848,1238,12.21
849,664,11.81
850,710,15.67
851,620,11.49
852,1398,9.34
853,1374,11.59
854,1888,10.22
855,1526,8.5
856,8910,4.7
857,1292,10.61
858,634,16.86
859,1262,12.64
860,2124,9.31
861,14200,4.66
862,550,17.77
863,486,18.98
864,1034,10.52
865,1024,9.51
866,1278,10.31
867,2032,8.81
868,2030,12.02
869,800,14.58
870,776,11.55
871,594,17.97
872,490,16.34
873,750,14.04
874,2424,8.48
875,1186,10.01
876,508,13.15
877,996,14.69
878,690,14.44
879,1634,8.79
880,566,18.26
881,36696,5.84
882,5124,7.86
883,1376,8.57
884,374,20.8
885,790,13.59
886,11604,4.79
887,862,12.7
888,3030,6.28
889,5398,6.46
890,886,15.09
891,404,17.78
892,884,13.81
893,430,21.92
894,1750,11.2
895,2344,8.8
896,1600,9.19
897,372,19.75
898,2412,10.31
899,804,12.18
900,1472,10.09
901,6444,7.37
902,486,16.85
903,1012,11.53
904,102,5.32
905,748,14.44
906,450,17.17
907,782,14.94
908,404,23.28
909,1818,10.09
910,702,12.07
911,662,18.57
912,2790,8.98
913,174,28.22
914,196,27.43
915,782,14.18
916,254,18.21
917,180,28.79
918,562,14.5
919,564,14.72
920,502,19.62
921,164,30.08
922,1488,11.64
