id,area_code,quarter,year
123,5015,1,2020
124,5017,1,2020
125,5019,1,2020
126,5021,1,2020
127,5023,1,2020
128,5025,1,2020
129,5027,1,2020
130,5029,1,2020
131,5031,1,2020
132,5033,1,2020
133,5035,1,2020
134,5037,1,2020
135,5039,1,2020
136,5041,1,2020
137,5043,1,2020
138,5045,1,2020
139,5047,1,2020
140,5049,1,2020
141,5051,1,2020
142,5053,1,2020
143,5055,1,2020
144,5057,1,2020
145,5059,1,2020
146,5061,1,2020
147,5063,1,2020
148,5065,1,2020
149,5067,1,2020
150,5069,1,2020
151,5071,1,2020
152,5073,1,2020
153,5075,1,2020
154,5077,1,2020
155,5079,1,2020
156,5081,1,2020
157,5083,1,2020
158,5085,1,2020
159,5087,1,2020
160,5089,1,2020
161,5091,1,2020
162,5093,1,2020
163,5095,1,2020
164,5097,1,2020
165,5099,1,2020
166,5101,1,2020
167,5103,1,2020
168,5105,1,2020
169,5107,1,2020
170,5109,1,2020
171,5111,1,2020
172,5113,1,2020
173,5115,1,2020
174,5117,1,2020
175,5119,1,2020
176,5121,1,2020
177,5123,1,2020
178,5125,1,2020
179,5127,1,2020
180,5129,1,2020
181,5131,1,2020
182,5133,1,2020
183,5135,1,2020
184,5137,1,2020
185,5139,1,2020
186,5141,1,2020
187,5143,1,2020
188,5145,1,2020
189,5147,1,2020
190,5149,1,2020
191,5999,1,2020
192,6001,1,2020
193,6003,1,2020
194,6005,1,2020
195,6007,1,2020
196,6009,1,2020
197,6011,1,2020
198,6013,1,2020
199,6015,1,2020
200,6017,1,2020
201,6019,1,2020
202,6021,1,2020
203,6023,1,2020
204,6025,1,2020
205,6027,1,2020
206,6029,1,2020
207,6031,1,2020
208,6033,1,2020
209,6035,1,2020
210,6037,1,2020
211,6039,1,2020
212,6041,1,2020
213,6043,1,2020
214,6045,1,2020
215,6047,1,2020
216,6049,1,2020
217,6051,1,2020
218,6053,1,2020
219,6055,1,2020
220,6057,1,2020
221,6059,1,2020
222,6061,1,2020
223,6063,1,2020
224,6065,1,2020
225,6067,1,2020
226,6069,1,2020
227,6071,1,2020
228,6073,1,2020
229,6075,1,2020
230,6077,1,2020
231,6079,1,2020
232,6081,1,2020
233,6083,1,2020
234,6085,1,2020
235,6087,1,2020
236,6089,1,2020
237,6091,1,2020
238,6093,1,2020
239,6095,1,2020
240,6097,1,2020
241,6099,1,2020
242,6101,1,2020
243,6103,1,2020
244,6105,1,2020
245,6107,1,2020
246,6109,1,2020
247,6111,1,2020
248,6113,1,2020
249,6115,1,2020
250,6999,1,2020
251,8001,1,2020
252,8003,1,2020
253,8005,1,2020
254,8007,1,2020
255,8009,1,2020
256,8011,1,2020
257,8013,1,2020
258,8014,1,2020
259,8015,1,2020
260,8017,1,2020
261,8019,1,2020
262,8021,1,2020
263,8023,1,2020
264,8025,1,2020
265,8027,1,2020
266,8029,1,2020
267,8031,1,2020
268,8033,1,2020
269,8035,1,2020
270,8037,1,2020
271,8039,1,2020
272,8041,1,2020
273,8043,1,2020
274,8045,1,2020
275,8047,1,2020
276,8049,1,2020
277,8051,1,2020
278,8053,1,2020
279,8055,1,2020
280,8057,1,2020
281,8059,1,2020
282,8061,1,2020
283,8063,1,2020
284,8065,1,2020
285,8067,1,2020
286,8069,1,2020
287,8071,1,2020
288,8073,1,2020
289,8075,1,2020
290,8077,1,2020
291,8079,1,2020
292,8081,1,2020
293,8083,1,2020
294,8085,1,2020
295,8087,1,2020
296,8089,1,2020
297,8091,1,2020
298,8093,1,2020
299,8095,1,2020
300,8097,1,2020
301,8099,1,2020
302,8101,1,2020
303,8103,1,2020
304,8105,1,2020
305,8107,1,2020
306,8109,1,2020
307,8111,1,2020
308,8113,1,2020
309,8115,1,2020
310,8117,1,2020
311,8119,1,2020
312,8121,1,2020
313,8123,1,2020
314,8125,1,2020
315,8999,1,2020
316,9001,1,2020
317,9003,1,2020
318,9005,1,2020
319,9007,1,2020
320,9009,1,2020
321,9011,1,2020
322,9013,1,2020
323,9015,1,2020
324,9999,1,2020
325,10001,1,2020
326,10003,1,2020
327,10005,1,2020
328,10999,1,2020
329,11001,1,2020
330,11999,1,2020
331,12001,1,2020
332,12003,1,2020
333,12005,1,2020
334,12007,1,2020
335,12009,1,2020
336,12011,1,2020
337,12013,1,2020
338,12015,1,2020
339,12017,1,2020
340,12019,1,2020
341,12021,1,2020
342,12023,1,2020
343,12027,1,2020
344,12029,1,2020
345,12031,1,2020
346,12033,1,2020
347,12035,1,2020
348,12037,1,2020
349,12039,1,2020
350,12041,1,2020
351,12043,1,2020
352,12045,1,2020
353,12047,1,2020
354,12049,1,2020
355,12051,1,2020
356,12053,1,2020
357,12055,1,2020
358,12057,1,2020
359,12059,1,2020
360,12061,1,2020
361,12063,1,2020
362,12065,1,2020
363,12067,1,2020
364,12069,1,2020
365,12071,1,2020
366,12073,1,2020
367,12075,1,2020
368,12077,1,2020
369,12079,1,2020
370,12081,1,2020
371,12083,1,2020
372,12085,1,2020
373,12086,1,2020
374,12087,1,2020
375,12089,1,2020
376,12091,1,2020
377,12093,1,2020
378,12095,1,2020
379,12097,1,2020
380,12099,1,2020
381,12101,1,2020
382,12103,1,2020
383,12105,1,2020
384,12107,1,2020
385,12109,1,2020
386,12111,1,2020
387,12113,1,2020
388,12115,1,2020
389,12117,1,2020
390,12119,1,2020
391,12121,1,2020
392,12123,1,2020
393,12125,1,2020
394,12127,1,2020
395,12129,1,2020
396,12131,1,2020
397,12133,1,2020
398,12999,1,2020
399,13001,1,2020
400,13003,1,2020
401,13005,1,2020
402,13007,1,2020
403,13009,1,2020
404,13011,1,2020
405,13013,1,2020
406,13015,1,2020
407,13017,1,2020
408,13019,1,2020
409,13021,1,2020
410,13023,1,2020
411,13025,1,2020
412,13027,1,2020
413,13029,1,2020
414,13031,1,2020
415,13033,1,2020
416,13035,1,2020
417,13037,1,2020
418,13039,1,2020
419,13043,1,2020
420,13045,1,2020
421,13047,1,2020
422,13049,1,2020
423,13051,1,2020
424,13053,1,2020
425,13055,1,2020
426,13057,1,2020
427,13059,1,2020
428,13061,1,2020
429,13063,1,2020
430,13065,1,2020
431,13067,1,2020
432,13069,1,2020
433,13071,1,2020
434,13073,1,2020
435,13075,1,2020
436,13077,1,2020
437,13079,1,2020
438,13081,1,2020
439,13083,1,2020
440,13085,1,2020
441,13087,1,2020
442,13089,1,2020
443,13091,1,2020
444,13093,1,2020
445,13095,1,2020
446,13097,1,2020
447,13099,1,2020
448,13101,1,2020
449,13103,1,2020
450,13105,1,2020
451,13107,1,2020
452,13109,1,2020
453,13111,1,2020
454,13113,1,2020
455,13115,1,2020
456,13117,1,2020
457,13119,1,2020
458,13121,1,2020
459,13123,1,2020
460,13125,1,2020
461,13127,1,2020
462,13129,1,2020
463,13131,1,2020
464,13133,1,2020
465,13135,1,2020
466,13137,1,2020
467,13139,1,2020
468,13141,1,2020
469,13143,1,2020
470,13145,1,2020
471,13147,1,2020
472,13149,1,2020
473,13151,1,2020
474,13153,1,2020
475,13155,1,2020
476,13157,1,2020
477,13159,1,2020
478,13161,1,2020
479,13163,1,2020
480,13165,1,2020
481,13167,1,2020
482,13169,1,2020
483,13171,1,2020
484,13173,1,2020
485,13175,1,2020
486,13177,1,2020
487,13179,1,2020
488,13181,1,2020
489,13183,1,2020
490,13185,1,2020
491,13187,1,2020
492,13189,1,2020
493,13191,1,2020
494,13193,1,2020
495,13195,1,2020
496,13197,1,2020
497,13199,1,2020
498,13201,1,2020
499,13205,1,2020
500,13207,1,2020
501,13209,1,2020
502,13211,1,2020
503,13213,1,2020
504,13215,1,2020
505,13217,1,2020
506,13219,1,2020
507,13221,1,2020
508,13223,1,2020
509,13225,1,2020
510,13227,1,2020
511,13229,1,2020
512,13231,1,2020
513,13233,1,2020
514,13235,1,2020
515,13237,1,2020
516,13239,1,2020
517,13241,1,2020
518,13243,1,2020
519,13245,1,2020
520,13247,1,2020
521,13249,1,2020
522,13251,1,2020
523,13253,1,2020
524,13255,1,2020
525,13257,1,2020
526,13259,1,2020
527,13261,1,2020
528,13263,1,2020
529,13265,1,2020
530,13267,1,2020
531,13269,1,2020
532,13271,1,2020
533,13273,1,2020
534,13275,1,2020
535,13277,1,2020
536,13279,1,2020
537,13281,1,2020
538,13283,1,2020
539,13285,1,2020
540,13287,1,2020
541,13289,1,2020
542,13291,1,2020
543,13293,1,2020
544,13295,1,2020
545,13297,1,2020
546,13299,1,2020
547,13301,1,2020
548,13303,1,2020
549,13305,1,2020
550,13307,1,2020
551,13309,1,2020
552,13311,1,2020
553,13313,1,2020
554,13315,1,2020
555,13317,1,2020
556,13319,1,2020
557,13321,1,2020
558,13999,1,2020
559,15001,1,2020
560,15003,1,2020
561,15007,1,2020
562,15009,1,2020
563,15999,1,2020
564,16001,1,2020
565,16003,1,2020
566,16005,1,2020
567,16007,1,2020
568,16009,1,2020
569,16011,1,2020
570,16013,1,2020
571,16015,1,2020
572,16017,1,2020
573,16019,1,2020
574,16021,1,2020
575,16023,1,2020
576,16025,1,2020
577,16027,1,2020
578,16029,1,2020
579,16031,1,2020
580,16033,1,2020
581,16035,1,2020
582,16037,1,2020
583,16039,1,2020
584,16041,1,2020
585,16043,1,2020
586,16045,1,2020
587,16047,1,2020
588,16049,1,2020
589,16051,1,2020
590,16053,1,2020
591,16055,1,2020
592,16057,1,2020
593,16059,1,2020
594,16061,1,2020
595,16063,1,2020
596,16065,1,2020
597,16067,1,2020
598,16069,1,2020
599,16071,1,2020
600,16073,1,2020
601,16075,1,2020
602,16077,1,2020
603,16079,1,2020
604,16081,1,2020
605,16083,1,2020
606,16085,1,2020
607,16087,1,2020
608,16999,1,2020
609,17001,1,2020
610,17003,1,2020
611,17005,1,2020
612,17007,1,2020
613,17009,1,2020
614,17011,1,2020
615,17013,1,2020
616,17015,1,2020
617,17017,1,2020
618,17019,1,2020
619,17021,1,2020
620,17023,1,2020
621,17025,1,2020
622,17027,1,2020
623,17029,1,2020
624,17031,1,2020
625,17033,1,2020
626,17035,1,2020
627,17037,1,2020
628,17039,1,2020
629,17041,1,2020
630,17043,1,2020
631,17045,1,2020
632,17047,1,2020
633,17049,1,2020
634,17051,1,2020
635,17053,1,2020
636,17055,1,2020
637,17057,1,2020
638,17059,1,2020
639,17061,1,2020
640,17063,1,2020
641,17065,1,2020
642,17067,1,2020
643,17069,1,2020
644,17071,1,2020
645,17073,1,2020
646,17075,1,2020
647,17077,1,2020
648,17079,1,2020
649,17081,1,2020
650,17083,1,2020
651,17085,1,2020
652,17087,1,2020
653,17089,1,2020
654,17091,1,2020
655,17093,1,2020
656,17095,1,2020
657,17097,1,2020
658,17099,1,2020
659,17101,1,2020
660,17103,1,2020
661,17105,1,2020
662,17107,1,2020
663,17109,1,2020
664,17111,1,2020
665,17113,1,2020
666,17115,1,2020
667,17117,1,2020
668,17119,1,2020
669,17121,1,2020
670,17123,1,2020
671,17125,1,2020
672,17127,1,2020
673,17129,1,2020
674,17131,1,2020
675,17133,1,2020
676,17135,1,2020
677,17137,1,2020
678,17139,1,2020
679,17141,1,2020
680,17143,1,2020
681,17145,1,2020
682,17147,1,2020
683,17149,1,2020
684,17151,1,2020
685,17153,1,2020
686,17155,1,2020
687,17157,1,2020
688,17159,1,2020
689,17161,1,2020
690,17163,1,2020
691,17165,1,2020
692,17167,1,2020
693,17169,1,2020
694,17171,1,2020
695,17173,1,2020
696,17175,1,2020
697,17177,1,2020
698,17179,1,2020
699,17181,1,2020
700,17183,1,2020
701,17185,1,2020
702,17187,1,2020
703,17189,1,2020
704,17191,1,2020
705,17193,1,2020
706,17195,1,2020
707,17197,1,2020
708,17199,1,2020
709,17201,1,2020
710,17203,1,2020
711,17999,1,2020
712,18001,1,2020
713,18003,1,2020
714,18005,1,2020
715,18007,1,2020
716,18009,1,2020
717,18011,1,2020
718,18013,1,2020
719,18015,1,2020
720,18017,1,2020
721,18019,1,2020
722,18021,1,2020
723,18023,1,2020
724,18025,1,2020
725,18027,1,2020
726,18029,1,2020
727,18031,1,2020
728,18033,1,2020
729,18035,1,2020
730,18037,1,2020
731,18039,1,2020
732,18041,1,2020
733,18043,1,2020
734,18045,1,2020
735,18047,1,2020
736,18049,1,2020
737,18051,1,2020
738,18053,1,2020
739,18055,1,2020
740,18057,1,2020
741,18059,1,2020
742,18061,1,2020
743,18063,1,2020
744,18065,1,2020
745,18067,1,2020
746,18069,1,2020
747,18071,1,2020
748,18073,1,2020
749,18075,1,2020
750,18077,1,2020
751,18079,1,2020
752,18081,1,2020
753,18083,1,2020
754,18085,1,2020
755,18087,1,2020
756,18089,1,2020
757,18091,1,2020
758,18093,1,2020
759,18095,1,2020
760,18097,1,2020
761,18099,1,2020
762,18101,1,2020
763,18103,1,2020
764,18105,1,2020
765,18107,1,2020
766,18109,1,2020
767,18111,1,2020
768,18113,1,2020
769,18115,1,2020
770,18117,1,2020
771,18119,1,2020
772,18121,1,2020
773,18123,1,2020
774,18125,1,2020
775,18127,1,2020
776,18129,1,2020
777,18131,1,2020
778,18133,1,2020
779,18135,1,2020
780,18137,1,2020
781,18139,1,2020
782,18141,1,2020
783,18143,1,2020
784,18145,1,2020
785,18147,1,2020
786,18149,1,2020
787,18151,1,2020
788,18153,1,2020
789,18155,1,2020
790,18157,1,2020
791,18159,1,2020
792,18161,1,2020
793,18163,1,2020
794,18165,1,2020
795,18167,1,2020
796,18169,1,2020
797,18171,1,2020
798,18173,1,2020
799,18175,1,2020
800,18177,1,2020
801,18179,1,2020
802,18181,1,2020
803,18183,1,2020
804,18999,1,2020
805,19001,1,2020
806,19003,1,2020
807,19005,1,2020
808,19007,1,2020
809,19009,1,2020
810,19011,1,2020
811,19013,1,2020
812,19015,1,2020
813,19017,1,2020
814,19019,1,2020
815,19021,1,2020
816,19023,1,2020
817,19025,1,2020
818,19027,1,2020
819,19029,1,2020
820,19031,1,2020
821,19033,1,2020
822,19035,1,2020
823,19037,1,2020
824,19039,1,2020
825,19041,1,2020
826,19043,1,2020
827,19045,1,2020
828,19047,1,2020
829,19049,1,2020
830,19051,1,2020
831,19053,1,2020
832,19055,1,2020
833,19057,1,2020
834,19059,1,2020
835,19061,1,2020
836,19063,1,2020
837,19065,1,2020
838,19067,1,2020
839,19069,1,2020
840,19071,1,2020
841,19073,1,2020
842,19075,1,2020
843,19077,1,2020
844,19079,1,2020
845,19081,1,2020
846,19083,1,2020
847,19085,1,2020
848,19087,1,2020
849,19089,1,2020
850,19091,1,2020
851,19093,1,2020
852,19095,1,2020
853,19097,1,2020
854,19099,1,2020
855,19101,1,2020
856,19103,1,2020
857,19105,1,2020
858,19107,1,2020
859,19109,1,2020
860,19111,1,2020
861,19113,1,2020
862,19115,1,2020
863,19117,1,2020
864,19119,1,2020
865,19121,1,2020
866,19123,1,2020
867,19125,1,2020
868,19127,1,2020
869,19129,1,2020
870,19131,1,2020
871,19133,1,2020
872,19135,1,2020
873,19137,1,2020
874,19139,1,2020
875,19141,1,2020
876,19143,1,2020
877,19145,1,2020
878,19147,1,2020
879,19149,1,2020
880,19151,1,2020
881,19153,1,2020
882,19155,1,2020
883,19157,1,2020
884,19159,1,2020
885,19161,1,2020
886,19163,1,2020
887,19165,1,2020
888,19167,1,2020
889,19169,1,2020
890,19171,1,2020
891,19173,1,2020
892,19175,1,2020
893,19177,1,2020
894,19179,1,2020
895,19181,1,2020
896,19183,1,2020
897,19185,1,2020
898,19187,1,2020
899,19189,1,2020
900,19191,1,2020
901,19193,1,2020
902,19195,1,2020
903,19197,1,2020
904,19999,1,2020
905,20001,1,2020
906,20003,1,2020
907,20005,1,2020
908,20007,1,2020
909,20009,1,2020
910,20011,1,2020
911,20013,1,2020
912,20015,1,2020
913,20017,1,2020
914,20019,1,2020
915,20021,1,2020
916,20023,1,2020
917,20025,1,2020
918,20027,1,2020
919,20029,1,2020
920,20031,1,2020
921,20033,1,2020
922,20035,1,2020
923,20037,1,2020
924,20039,1,2020
925,20041,1,2020
926,20043,1,2020
927,20045,1,2020
928,20047,1,2020
929,20049,1,2020
930,20051,1,2020
931,20053,1,2020
932,20055,1,2020
933,20057,1,2020
934,20059,1,2020
935,20061,1,2020
936,20063,1,2020
937,20065,1,2020
938,20067,1,2020
939,20069,1,2020
940,20071,1,2020
941,20073,1,2020
942,20075,1,2020
943,20077,1,2020
944,20079,1,2020
945,20081,1,2020
946,20083,1,2020
947,20085,1,2020
948,20087,1,2020
949,20089,1,2020
950,20091,1,2020
951,20093,1,2020
952,20095,1,2020
953,20097,1,2020
954,20099,1,2020
955,20101,1,2020
956,20103,1,2020
957,20105,1,2020
958,20107,1,2020
959,20109,1,2020
960,20111,1,2020
961,20113,1,2020
962,20115,1,2020
963,20117,1,2020
964,20119,1,2020
965,20121,1,2020
966,20123,1,2020
967,20125,1,2020
968,20127,1,2020
969,20129,1,2020
970,20131,1,2020
971,20133,1,2020
972,20135,1,2020
973,20137,1,2020
974,20139,1,2020
975,20141,1,2020
976,20143,1,2020
977,20145,1,2020
978,20147,1,2020
979,20149,1,2020
980,20151,1,2020
981,20153,1,2020
982,20155,1,2020
983,20157,1,2020
984,20159,1,2020
985,20161,1,2020
986,20163,1,2020
987,20165,1,2020
988,20167,1,2020
989,20169,1,2020
990,20171,1,2020
991,20173,1,2020
992,20175,1,2020
993,20177,1,2020
994,20179,1,2020
995,20181,1,2020
996,20183,1,2020
997,20185,1,2020
998,20187,1,2020
999,20189,1,2020
1000,20191,1,2020
1001,20193,1,2020
1002,20195,1,2020
1003,20197,1,2020
1004,20199,1,2020
1005,20201,1,2020
1006,20203,1,2020
1007,20205,1,2020
1008,20207,1,2020
1009,20209,1,2020
1010,20999,1,2020
1011,21001,1,2020
1012,21003,1,2020
1013,21005,1,2020
1014,21007,1,2020
1015,21009,1,2020
1016,21011,1,2020
1017,21013,1,2020
1018,21015,1,2020
1019,21017,1,2020
1020,21019,1,2020
1021,21021,1,2020
1022,21023,1,2020
1023,21025,1,2020
1024,21027,1,2020
1025,21029,1,2020
1026,21031,1,2020
1027,21033,1,2020
1028,21035,1,2020
1029,21037,1,2020
1030,21039,1,2020
1031,21041,1,2020
1032,21043,1,2020
1033,21045,1,2020
1034,21047,1,2020
1035,21049,1,2020
1036,21051,1,2020
1037,21053,1,2020
1038,21055,1,2020
1039,21057,1,2020
1040,21059,1,2020
1041,21061,1,2020
1042,21063,1,2020
1043,21065,1,2020
1044,21067,1,2020
1045,21069,1,2020
1046,21071,1,2020
1047,21073,1,2020
1048,21075,1,2020
1049,21077,1,2020
1050,21079,1,2020
1051,21081,1,2020
1052,21083,1,2020
1053,21085,1,2020
1054,21087,1,2020
1055,21089,1,2020
1056,21091,1,2020
1057,21093,1,2020
1058,21095,1,2020
1059,21097,1,2020
1060,21099,1,2020
1061,21101,1,2020
1062,21103,1,2020
1063,21105,1,2020
1064,21107,1,2020
1065,21109,1,2020
1066,21111,1,2020
1067,21113,1,2020
1068,21115,1,2020
1069,21117,1,2020
1070,21119,1,2020
1071,21121,1,2020
1072,21123,1,2020
1073,21125,1,2020
1074,21127,1,2020
1075,21129,1,2020
1076,21131,1,2020
1077,21133,1,2020
1078,21135,1,2020
1079,21137,1,2020
1080,21139,1,2020
1081,21141,1,2020
1082,21143,1,2020
1083,21145,1,2020
1084,21147,1,2020
1085,21149,1,2020
1086,21151,1,2020
1087,21153,1,2020
1088,21155,1,2020
1089,21157,1,2020
1090,21159,1,2020
1091,21161,1,2020
1092,21163,1,2020
1093,21165,1,2020
1094,21167,1,2020
1095,21169,1,2020
1096,21171,1,2020
1097,21173,1,2020
1098,21175,1,2020
1099,21177,1,2020
1100,21179,1,2020
1101,21181,1,2020
1102,21183,1,2020
1103,21185,1,2020
1104,21187,1,2020
1105,21189,1,2020
1106,21191,1,2020
1107,21193,1,2020
1108,21195,1,2020
1109,21197,1,2020
1110,21199,1,2020
1111,21201,1,2020
1112,21203,1,2020
1113,21205,1,2020
1114,21207,1,2020
1115,21209,1,2020
1116,21211,1,2020
1117,21213,1,2020
1118,21215,1,2020
1119,21217,1,2020
1120,21219,1,2020
1121,21221,1,2020
1122,21223,1,2020
1123,21225,1,2020
1124,21227,1,2020
1125,21229,1,2020
1126,21231,1,2020
1127,21233,1,2020
1128,21235,1,2020
1129,21237,1,2020
1130,21239,1,2020
1131,21999,1,2020
1132,22001,1,2020
1133,22003,1,2020
1134,22005,1,2020
1135,22007,1,2020
1136,22009,1,2020
1137,22011,1,2020
1138,22013,1,2020
1139,22015,1,2020
1140,22017,1,2020
1141,22019,1,2020
1142,22021,1,2020
1143,22023,1,2020
1144,22025,1,2020
1145,22027,1,2020
1146,22029,1,2020
1147,22031,1,2020
1148,22033,1,2020
1149,22035,1,2020
1150,22037,1,2020
1151,22039,1,2020
1152,22041,1,2020
1153,22043,1,2020
1154,22045,1,2020
1155,22047,1,2020
1156,22049,1,2020
1157,22051,1,2020
1158,22053,1,2020
1159,22055,1,2020
1160,22057,1,2020
1161,22059,1,2020
1162,22061,1,2020
1163,22063,1,2020
1164,22065,1,2020
1165,22067,1,2020
1166,22069,1,2020
1167,22071,1,2020
1168,22073,1,2020
1169,22075,1,2020
1170,22077,1,2020
1171,22079,1,2020
1172,22081,1,2020
1173,22083,1,2020
1174,22085,1,2020
1175,22087,1,2020
1176,22089,1,2020
1177,22091,1,2020
1178,22093,1,2020
1179,22095,1,2020
1180,22097,1,2020
1181,22099,1,2020
1182,22101,1,2020
1183,22103,1,2020
1184,22105,1,2020
1185,22107,1,2020
1186,22109,1,2020
1187,22111,1,2020
1188,22113,1,2020
1189,22115,1,2020
1190,22117,1,2020
1191,22119,1,2020
1192,22121,1,2020
1193,22123,1,2020
1194,22125,1,2020
1195,22127,1,2020
1196,22999,1,2020
1197,23001,1,2020
1198,23003,1,2020
1199,23005,1,2020
1200,23007,1,2020
1201,23009,1,2020
1202,23011,1,2020
1203,23013,1,2020
1204,23015,1,2020
1205,23017,1,2020
1206,23019,1,2020
1207,23021,1,2020
1208,23023,1,2020
1209,23025,1,2020
1210,23027,1,2020
1211,23029,1,2020
1212,23031,1,2020
1213,23999,1,2020
1214,24001,1,2020
1215,24003,1,2020
1216,24005,1,2020
1217,24009,1,2020
1218,24011,1,2020
1219,24013,1,2020
1220,24015,1,2020
1221,24017,1,2020
1222,24019,1,2020
1223,24021,1,2020
1224,24023,1,2020
1225,24025,1,2020
1226,24027,1,2020
1227,24029,1,2020
1228,24031,1,2020
1229,24033,1,2020
1230,24035,1,2020
1231,24037,1,2020
1232,24039,1,2020
1233,24041,1,2020
1234,24043,1,2020
1235,24045,1,2020
1236,24047,1,2020
1237,24510,1,2020
1238,24999,1,2020
1239,25001,1,2020
1240,25003,1,2020
1241,25005,1,2020
1242,25007,1,2020
1243,25009,1,2020
1244,25011,1,2020
1245,25013,1,2020
1246,25015,1,2020
1247,25017,1,2020
1248,25019,1,2020
1249,25021,1,2020
1250,25023,1,2020
1251,25025,1,2020
1252,25027,1,2020
1253,25999,1,2020
1254,26001,1,2020
1255,26003,1,2020
1256,26005,1,2020
1257,26007,1,2020
1258,26009,1,2020
1259,26011,1,2020
1260,26013,1,2020
1261,26015,1,2020
1262,26017,1,2020
1263,26019,1,2020
1264,26021,1,2020
1265,26023,1,2020
1266,26025,1,2020
1267,26027,1,2020
1268,26029,1,2020
1269,26031,1,2020
1270,26033,1,2020
1271,26035,1,2020
1272,26037,1,2020
1273,26039,1,2020
1274,26041,1,2020
1275,26043,1,2020
1276,26045,1,2020
1277,26047,1,2020
1278,26049,1,2020
1279,26051,1,2020
1280,26053,1,2020
1281,26055,1,2020
1282,26057,1,2020
1283,26059,1,2020
1284,26061,1,2020
1285,26063,1,2020
1286,26065,1,2020
1287,26067,1,2020
1288,26069,1,2020
1289,26071,1,2020
1290,26073,1,2020
1291,26075,1,2020
1292,26077,1,2020
1293,26079,1,2020
1294,26081,1,2020
1295,26083,1,2020
1296,26085,1,2020
1297,26087,1,2020
1298,26089,1,2020
1299,26091,1,2020
1300,26093,1,2020
1301,26095,1,2020
1302,26097,1,2020
1303,26099,1,2020
1304,26101,1,2020
1305,26103,1,2020
1306,26105,1,2020
1307,26107,1,2020
1308,26109,1,2020
1309,26111,1,2020
1310,26113,1,2020
1311,26115,1,2020
1312,26117,1,2020
1313,26119,1,2020
1314,26121,1,2020
1315,26123,1,2020
1316,26125,1,2020
1317,26127,1,2020
1318,26129,1,2020
1319,26131,1,2020
1320,26133,1,2020
1321,26135,1,2020
1322,26137,1,2020
1323,26139,1,2020
1324,26141,1,2020
1325,26143,1,2020
1326,26145,1,2020
1327,26147,1,2020
1328,26149,1,2020
1329,26151,1,2020
1330,26153,1,2020
1331,26155,1,2020
1332,26157,1,2020
1333,26159,1,2020
1334,26161,1,2020
1335,26163,1,2020
1336,26165,1,2020
1337,26999,1,2020
1338,27001,1,2020
1339,27003,1,2020
1340,27005,1,2020
1341,27007,1,2020
1342,27009,1,2020
1343,27011,1,2020
1344,27013,1,2020
1345,27015,1,2020
1346,27017,1,2020
1347,27019,1,2020
1348,27021,1,2020
1349,27023,1,2020
1350,27025,1,2020
1351,27027,1,2020
1352,27029,1,2020
1353,27031,1,2020
1354,27033,1,2020
1355,27035,1,2020
1356,27037,1,2020
1357,27039,1,2020
1358,27041,1,2020
1359,27043,1,2020
1360,27045,1,2020
1361,27047,1,2020
